transaction_id,account_id,account_type,date,merchant_name,raw_description,amount,currency,pending,category
boa_0873_2026-01-30_2834_7c39eea5,boa_cc_0873,credit_card,2026-01-30,ATM PAYMENT KANSAS CITY MO,ATM PAYMENT KANSAS CITY MO,-400.0,USD,False,Transfers
boa_0873_2026-02-02_4740_592f401f,boa_cc_0873,credit_card,2026-02-02,ATM PAYMENT N KANSAS CITYMO,ATM PAYMENT N KANSAS CITYMO,-340.0,USD,False,Transfers
boa_0873_2026-01-26_2310_728191dd,boa_cc_0873,credit_card,2026-01-26,BP#9712035MIDWEST FUELS KANSAS CITY MO,BP#9712035MIDWEST FUELS KANSAS CITY MO,2.03,USD,False,Gas & Fuel
boa_0873_2026-01-29_0805_a40925be,boa_cc_0873,credit_card,2026-01-29,ATT* BILL PAYMENT 800-331-0500 TX,ATT* BILL PAYMENT 800-331-0500 TX,35.49,USD,False,Utilities
boa_0873_2026-01-29_9878_84fc0893,boa_cc_0873,credit_card,2026-01-29,WAL-MART #2490 ROELAND PARK KS,WAL-MART #2490 ROELAND PARK KS,22.79,USD,False,Shopping
boa_0873_2026-01-29_9844_c795ef11,boa_cc_0873,credit_card,2026-01-29,TOTALWINE 1808 POS KANSAS CITY MO,TOTALWINE 1808 POS KANSAS CITY MO,40.68,USD,False,Shopping
boa_0873_2026-01-29_7345_d16b88fa,boa_cc_0873,credit_card,2026-01-29,THE HOME DEPOT #3021 KANSAS CITY MO,THE HOME DEPOT #3021 KANSAS CITY MO,7.02,USD,False,Shopping
boa_0873_2026-01-30_9793_728191dd,boa_cc_0873,credit_card,2026-01-30,BP#9712035MIDWEST FUELS KANSAS CITY MO,BP#9712035MIDWEST FUELS KANSAS CITY MO,1.88,USD,False,Gas & Fuel
boa_0873_2026-02-01_1203_728191dd,boa_cc_0873,credit_card,2026-02-01,BP#9712035MIDWEST FUELS KANSAS CITY MO,BP#9712035MIDWEST FUELS KANSAS CITY MO,1.06,USD,False,Gas & Fuel
boa_0873_2026-02-02_5523_4e1aaebf,boa_cc_0873,credit_card,2026-02-02,TST* DESI CHOWRASTHA - OV913-222-6876 KS,TST* DESI CHOWRASTHA - OV913-222-6876 KS,52.48,USD,False,Restaurants
boa_0873_2026-02-02_1894_1c61bfc9,boa_cc_0873,credit_card,2026-02-02,VISIBLE 866-331-3527 CO,VISIBLE 866-331-3527 CO,19.0,USD,False,Utilities
